asset_id,household_id,owner,asset_type,subtype,provider_type,value,is_joint
HH000001_A1,HH000001,client_1,brokerage,taxable,advisor_platform,2082294.15,False
HH000001_A2,HH000001,client_2,retirement,401k_ira,brokerage,1556810.83,False
HH000001_A3,HH000001,client_2,cash,bank,advisor_platform,319202.19,False
HH000001_A4,HH000001,client_2,alternatives,private_markets,bank,271041.21,False
HH000001_A5,HH000001,client_1,property,primary_residence,retirement_platform,1003529.34,False
HH000002_A1,HH000002,client_1,brokerage,taxable,insurance,339477.0,False
HH000002_A2,HH000002,client_1,retirement,401k_ira,brokerage,121004.87,False
HH000002_A3,HH000002,client_2,cash,bank,bank,59180.64,False
HH000002_A4,HH000002,client_2,alternatives,private_markets,bank,23162.42,False
HH000002_A5,HH000002,joint,property,primary_residence,retirement_platform,297928.68,True
HH000003_A1,HH000003,client_1,brokerage,taxable,brokerage,153871.71,False
HH000003_A2,HH000003,client_1,retirement,401k_ira,retirement_platform,109671.15,False
HH000003_A3,HH000003,client_1,cash,bank,advisor_platform,37382.56,False
HH000003_A4,HH000003,client_1,alternatives,private_markets,insurance,4829.85,False
HH000003_A5,HH000003,client_1,property,primary_residence,insurance,350000.0,False
HH000004_A1,HH000004,client_1,brokerage,taxable,retirement_platform,1849351.09,False
HH000004_A2,HH000004,client_2,retirement,401k_ira,advisor_platform,1088712.05,False
HH000004_A3,HH000004,joint,cash,bank,advisor_platform,308705.17,True
HH000004_A4,HH000004,client_2,alternatives,private_markets,retirement_platform,156141.18,False
HH000004_A5,HH000004,joint,property,primary_residence,bank,1071452.4,True
HH000005_A1,HH000005,client_1,brokerage,taxable,brokerage,541299.63,False
HH000005_A2,HH000005,client_1,retirement,401k_ira,retirement_platform,182150.64,False
HH000005_A3,HH000005,client_2,cash,bank,retirement_platform,146970.16,False
HH000005_A4,HH000005,client_1,alternatives,private_markets,bank,41141.2,False
HH000005_A5,HH000005,client_1,property,primary_residence,brokerage,953708.15,False
HH000006_A1,HH000006,client_1,brokerage,taxable,bank,236077.42,False
HH000006_A2,HH000006,client_1,retirement,401k_ira,bank,71348.14,False
HH000006_A3,HH000006,client_1,cash,bank,advisor_platform,48019.54,False
HH000006_A4,HH000006,client_1,alternatives,private_markets,retirement_platform,3070.53,False
HH000006_A5,HH000006,client_1,property,primary_residence,retirement_platform,297642.55,False
HH000007_A1,HH000007,client_1,brokerage,taxable,retirement_platform,180890.31,False
HH000007_A2,HH000007,client_2,retirement,401k_ira,bank,69327.82,False
HH000007_A3,HH000007,joint,cash,bank,insurance,33356.03,True
HH000007_A4,HH000007,client_1,alternatives,private_markets,retirement_platform,6413.28,False
HH000007_A5,HH000007,client_1,property,primary_residence,retirement_platform,175917.48,False
HH000008_A1,HH000008,client_1,brokerage,taxable,insurance,1680764.31,False
HH000008_A2,HH000008,client_1,retirement,401k_ira,brokerage,677327.96,False
HH000008_A3,HH000008,client_1,cash,bank,retirement_platform,156734.5,False
HH000008_A4,HH000008,client_1,alternatives,private_markets,insurance,522050.31,False
HH000008_A5,HH000008,client_1,property,primary_residence,retirement_platform,1437636.77,False
HH000009_A1,HH000009,joint,brokerage,taxable,bank,730579.43,True
HH000009_A2,HH000009,client_1,retirement,401k_ira,brokerage,213281.7,False
HH000009_A3,HH000009,client_1,cash,bank,bank,59635.68,False
HH000009_A4,HH000009,client_2,alternatives,private_markets,bank,137003.85,False
HH000009_A5,HH000009,client_1,property,primary_residence,retirement_platform,455733.45,False
HH000010_A1,HH000010,client_1,brokerage,taxable,bank,230626.17,False
HH000010_A2,HH000010,client_2,retirement,401k_ira,advisor_platform,158837.95,False
HH000010_A3,HH000010,client_1,cash,bank,insurance,54688.34,False
HH000010_A4,HH000010,client_2,alternatives,private_markets,brokerage,12123.5,False
HH000010_A5,HH000010,joint,property,primary_residence,retirement_platform,200411.35,True
HH000011_A1,HH000011,client_1,brokerage,taxable,retirement_platform,838259.68,False
HH000011_A2,HH000011,client_2,retirement,401k_ira,bank,353304.46,False
HH000011_A3,HH000011,joint,cash,bank,brokerage,58738.22,True
HH000011_A4,HH000011,client_2,alternatives,private_markets,retirement_platform,87177.29,False
HH000011_A5,HH000011,client_1,property,primary_residence,bank,1292640.66,False
HH000012_A1,HH000012,joint,brokerage,taxable,insurance,428319.51,True
HH000012_A2,HH000012,client_1,retirement,401k_ira,brokerage,298461.9,False
HH000012_A3,HH000012,joint,cash,bank,retirement_platform,135878.86,True
HH000012_A4,HH000012,client_2,alternatives,private_markets,retirement_platform,19332.68,False
HH000012_A5,HH000012,joint,property,primary_residence,advisor_platform,664601.71,True
HH000013_A1,HH000013,client_1,brokerage,taxable,insurance,239487.75,False
HH000013_A2,HH000013,client_2,retirement,401k_ira,insurance,59335.41,False
HH000013_A3,HH000013,client_2,cash,bank,bank,26950.63,False
HH000013_A4,HH000013,client_1,alternatives,private_markets,bank,510.37,False
HH000013_A5,HH000013,joint,property,primary_residence,advisor_platform,350000.0,True
HH000014_A1,HH000014,joint,brokerage,taxable,brokerage,4877548.25,True
HH000014_A2,HH000014,client_1,retirement,401k_ira,insurance,1193746.38,False
HH000014_A3,HH000014,joint,cash,bank,bank,811764.83,True
HH000014_A4,HH000014,client_1,alternatives,private_markets,insurance,502591.13,False
HH000014_A5,HH000014,client_2,property,primary_residence,brokerage,4500465.43,False
HH000015_A1,HH000015,client_2,brokerage,taxable,advisor_platform,187006.16,False
HH000015_A2,HH000015,client_2,retirement,401k_ira,brokerage,149533.25,False
HH000015_A3,HH000015,client_1,cash,bank,bank,55613.49,False
HH000015_A4,HH000015,client_1,alternatives,private_markets,brokerage,9962.54,False
HH000015_A5,HH000015,client_1,property,primary_residence,retirement_platform,178574.75,False
HH000016_A1,HH000016,joint,brokerage,taxable,insurance,477795.86,True
HH000016_A2,HH000016,client_1,retirement,401k_ira,brokerage,326789.9,False
HH000016_A3,HH000016,client_1,cash,bank,advisor_platform,90611.95,False
HH000016_A4,HH000016,client_1,alternatives,private_markets,insurance,2248.4,False
HH000016_A5,HH000016,joint,property,primary_residence,insurance,549546.78,True
HH000017_A1,HH000017,client_1,brokerage,taxable,advisor_platform,544926.25,False
HH000017_A2,HH000017,client_1,retirement,401k_ira,insurance,211496.54,False
HH000017_A3,HH000017,joint,cash,bank,retirement_platform,72195.06,True
HH000017_A4,HH000017,client_1,alternatives,private_markets,insurance,33544.65,False
HH000017_A5,HH000017,joint,property,primary_residence,brokerage,569013.33,True
HH000018_A1,HH000018,joint,brokerage,taxable,bank,1795482.27,True
HH000018_A2,HH000018,client_1,retirement,401k_ira,retirement_platform,361079.59,False
HH000018_A3,HH000018,joint,cash,bank,brokerage,274683.24,True
HH000018_A4,HH000018,client_1,alternatives,private_markets,insurance,145464.14,False
HH000018_A5,HH000018,joint,property,primary_residence,bank,1467154.21,True
HH000019_A1,HH000019,client_1,brokerage,taxable,insurance,291752.72,False
HH000019_A2,HH000019,client_1,retirement,401k_ira,advisor_platform,80704.34,False
HH000019_A3,HH000019,joint,cash,bank,advisor_platform,33213.36,True
HH000019_A4,HH000019,client_2,alternatives,private_markets,retirement_platform,3588.1,False
HH000019_A5,HH000019,joint,property,primary_residence,retirement_platform,350000.0,True
HH000020_A1,HH000020,joint,brokerage,taxable,bank,758706.52,True
HH000020_A2,HH000020,client_2,retirement,401k_ira,insurance,406006.13,False
HH000020_A3,HH000020,client_2,cash,bank,retirement_platform,255666.62,False
HH000020_A4,HH000020,client_1,alternatives,private_markets,advisor_platform,3144.21,False
HH000020_A5,HH000020,client_1,property,primary_residence,advisor_platform,622905.02,False
HH000021_A1,HH000021,joint,brokerage,taxable,brokerage,234748.74,True
HH000021_A2,HH000021,client_1,retirement,401k_ira,retirement_platform,96781.01,False
HH000021_A3,HH000021,client_2,cash,bank,retirement_platform,48581.81,False
HH000021_A4,HH000021,client_1,property,primary_residence,insurance,300000.0,False
HH000022_A1,HH000022,joint,brokerage,taxable,advisor_platform,393418.74,True
HH000022_A2,HH000022,client_1,retirement,401k_ira,retirement_platform,124606.86,False
HH000022_A3,HH000022,client_1,cash,bank,retirement_platform,113586.06,False
HH000022_A4,HH000022,client_1,alternatives,private_markets,bank,27603.85,False
HH000022_A5,HH000022,client_1,property,primary_residence,retirement_platform,296567.03,False
HH000023_A1,HH000023,client_1,brokerage,taxable,bank,2224060.86,False
HH000023_A2,HH000023,client_1,retirement,401k_ira,advisor_platform,684039.18,False
HH000023_A3,HH000023,client_1,cash,bank,insurance,348432.61,False
HH000023_A4,HH000023,client_1,alternatives,private_markets,bank,489959.19,False
HH000023_A5,HH000023,client_1,property,primary_residence,bank,2519238.69,False
HH000024_A1,HH000024,client_2,brokerage,taxable,insurance,110530.78,False
HH000024_A2,HH000024,client_1,retirement,401k_ira,bank,94941.48,False
HH000024_A3,HH000024,client_2,cash,bank,brokerage,33405.49,False
HH000024_A4,HH000024,client_1,alternatives,private_markets,brokerage,11122.24,False
HH000024_A5,HH000024,client_2,property,primary_residence,bank,350000.0,False
HH000025_A1,HH000025,joint,brokerage,taxable,brokerage,209059.06,True
HH000025_A2,HH000025,client_1,retirement,401k_ira,retirement_platform,69518.87,False
HH000025_A3,HH000025,client_1,cash,bank,advisor_platform,37040.22,False
HH000025_A4,HH000025,client_1,alternatives,private_markets,insurance,4634.53,False
HH000025_A5,HH000025,joint,property,primary_residence,insurance,328787.86,True
HH000026_A1,HH000026,client_2,brokerage,taxable,retirement_platform,2117741.69,False
HH000026_A2,HH000026,client_1,retirement,401k_ira,advisor_platform,1149300.83,False
HH000026_A3,HH000026,client_2,cash,bank,retirement_platform,259688.9,False
HH000026_A4,HH000026,client_1,alternatives,private_markets,retirement_platform,613445.59,False
HH000026_A5,HH000026,joint,property,primary_residence,insurance,2971663.61,True
HH000027_A1,HH000027,client_2,brokerage,taxable,brokerage,798325.82,False
HH000027_A2,HH000027,client_1,retirement,401k_ira,brokerage,720391.45,False
HH000027_A3,HH000027,client_1,cash,bank,brokerage,214225.87,False
HH000027_A4,HH000027,client_1,alternatives,private_markets,bank,150331.37,False
HH000027_A5,HH000027,joint,property,primary_residence,insurance,814607.51,True
HH000028_A1,HH000028,client_1,brokerage,taxable,brokerage,520168.54,False
HH000028_A2,HH000028,client_2,retirement,401k_ira,advisor_platform,295190.53,False
HH000028_A3,HH000028,joint,cash,bank,brokerage,168609.36,True
HH000028_A4,HH000028,joint,property,primary_residence,brokerage,652598.42,True
HH000029_A1,HH000029,joint,brokerage,taxable,retirement_platform,211264.11,True
HH000029_A2,HH000029,client_1,retirement,401k_ira,bank,109595.92,False
HH000029_A3,HH000029,client_1,cash,bank,insurance,48196.61,False
HH000029_A4,HH000029,client_1,alternatives,private_markets,retirement_platform,9569.84,False
HH000029_A5,HH000029,client_1,property,primary_residence,brokerage,337420.45,False
HH000030_A1,HH000030,client_1,brokerage,taxable,advisor_platform,195329.4,False
HH000030_A2,HH000030,client_1,retirement,401k_ira,advisor_platform,141449.65,False
HH000030_A3,HH000030,joint,cash,bank,advisor_platform,32603.23,True
HH000030_A4,HH000030,client_2,alternatives,private_markets,bank,18005.25,False
HH000030_A5,HH000030,client_1,property,primary_residence,retirement_platform,141466.88,False
HH000031_A1,HH000031,client_1,brokerage,taxable,advisor_platform,1972975.93,False
HH000031_A2,HH000031,client_1,retirement,401k_ira,brokerage,1117565.69,False
HH000031_A3,HH000031,client_1,cash,bank,advisor_platform,311427.17,False
HH000031_A4,HH000031,client_2,alternatives,private_markets,advisor_platform,711390.09,False
HH000031_A5,HH000031,joint,property,primary_residence,advisor_platform,1214283.9,True
HH000032_A1,HH000032,client_1,brokerage,taxable,advisor_platform,350512.86,False
HH000032_A2,HH000032,client_1,retirement,401k_ira,brokerage,237056.92,False
HH000032_A3,HH000032,client_1,cash,bank,retirement_platform,76653.31,False
HH000032_A4,HH000032,client_1,alternatives,private_markets,advisor_platform,9413.65,False
HH000032_A5,HH000032,client_1,property,primary_residence,insurance,557457.65,False
