household_id,entity,record_key,record_status,field,field_type,ground_truth,extracted
HH000226,assets,HH000226_A1,both,asset_type,categorical,brokerage,cash
HH000226,assets,HH000226_A3,both,asset_type,categorical,cash,alternatives
HH000418,assets,HH000418_A3,both,asset_type,categorical,cash,retirement
HH000799,assets,HH000799_A1,both,asset_type,categorical,brokerage,cash
HH000805,assets,HH000805_A3,both,asset_type,categorical,cash,alternatives
HH001021,assets,HH001021_A1,both,asset_type,categorical,brokerage,alternatives
HH001021,assets,HH001021_A3,both,asset_type,categorical,cash,brokerage
HH001099,assets,HH001099_A1,both,asset_type,categorical,brokerage,retirement
HH001099,assets,HH001099_A3,both,asset_type,categorical,cash,retirement
HH001138,assets,HH001138_A2,both,asset_type,categorical,retirement,cash
HH001292,assets,HH001292_A3,both,asset_type,categorical,cash,retirement
HH001323,assets,HH001323_A3,both,asset_type,categorical,cash,retirement
HH001439,assets,HH001439_A3,both,asset_type,categorical,cash,retirement
HH001448,assets,HH001448_A3,both,asset_type,categorical,cash,brokerage
HH001509,assets,HH001509_A3,both,asset_type,categorical,cash,retirement
HH001644,assets,HH001644_A3,both,asset_type,categorical,cash,retirement
HH001777,assets,HH001777_A1,both,asset_type,categorical,brokerage,cash
HH002044,assets,HH002044_A3,both,asset_type,categorical,cash,retirement
HH002537,assets,HH002537_A1,both,asset_type,categorical,brokerage,cash
HH002685,assets,HH002685_A3,both,asset_type,categorical,cash,brokerage
HH002755,assets,HH002755_A1,both,asset_type,categorical,brokerage,cash
HH002866,assets,HH002866_A2,both,asset_type,categorical,retirement,alternatives
HH002894,assets,HH002894_A1,both,asset_type,categorical,brokerage,cash
HH003001,assets,HH003001_A3,both,asset_type,categorical,cash,retirement
HH003124,assets,HH003124_A1,both,asset_type,categorical,brokerage,alternatives
HH003183,assets,HH003183_A2,both,asset_type,categorical,retirement,cash
HH003224,assets,HH003224_A3,both,asset_type,categorical,cash,retirement
HH003547,assets,HH003547_A3,both,asset_type,categorical,cash,alternatives
HH003681,assets,HH003681_A2,both,asset_type,categorical,retirement,cash
HH003774,assets,HH003774_A1,both,asset_type,categorical,brokerage,cash
HH004100,assets,HH004100_A3,both,asset_type,categorical,cash,retirement
HH004259,assets,HH004259_A1,both,asset_type,categorical,brokerage,cash
HH004259,assets,HH004259_A3,both,asset_type,categorical,cash,retirement
HH004298,assets,HH004298_A2,both,asset_type,categorical,retirement,cash
HH004794,assets,HH004794_A2,both,asset_type,categorical,retirement,cash
HH004892,assets,HH004892_A1,both,asset_type,categorical,brokerage,cash
HH004892,assets,HH004892_A3,both,asset_type,categorical,cash,retirement
HH004983,assets,HH004983_A3,both,asset_type,categorical,cash,brokerage
HH000055,assets,HH000055_A3,both,is_joint,boolean,False,True
HH000084,assets,HH000084_A3,both,is_joint,boolean,False,True
HH000377,assets,HH000377_A5,both,is_joint,boolean,False,True
HH000408,assets,HH000408_A4,both,is_joint,boolean,False,True
HH000621,assets,HH000621_A5,both,is_joint,boolean,False,True
HH000643,assets,HH000643_A5,both,is_joint,boolean,False,True
HH001359,assets,HH001359_A5,both,is_joint,boolean,False,True
HH001405,assets,HH001405_A5,both,is_joint,boolean,False,True
HH001448,assets,HH001448_A5,both,is_joint,boolean,False,True
HH001691,assets,HH001691_A5,both,is_joint,boolean,False,True
HH001720,assets,HH001720_A1,both,is_joint,boolean,True,False
HH001890,assets,HH001890_A5,both,is_joint,boolean,False,True
HH001912,assets,HH001912_A5,both,is_joint,boolean,False,True
HH002101,assets,HH002101_A3,both,is_joint,boolean,False,True
HH002183,assets,HH002183_A5,both,is_joint,boolean,False,True
HH002257,assets,HH002257_A5,both,is_joint,boolean,False,True
HH002537,assets,HH002537_A3,both,is_joint,boolean,False,True
HH002629,assets,HH002629_A3,both,is_joint,boolean,False,True
HH002671,assets,HH002671_A5,both,is_joint,boolean,True,False
HH002685,assets,HH002685_A5,both,is_joint,boolean,False,True
HH002767,assets,HH002767_A4,both,is_joint,boolean,False,True
HH002894,assets,HH002894_A3,both,is_joint,boolean,False,True
HH003087,assets,HH003087_A3,both,is_joint,boolean,False,True
HH003087,assets,HH003087_A5,both,is_joint,boolean,False,True
HH003183,assets,HH003183_A2,both,is_joint,boolean,False,True
HH003210,assets,HH003210_A5,both,is_joint,boolean,False,True
HH003560,assets,HH003560_A3,both,is_joint,boolean,False,True
HH003681,assets,HH003681_A2,both,is_joint,boolean,False,True
HH003686,assets,HH003686_A5,both,is_joint,boolean,False,True
HH003725,assets,HH003725_A5,both,is_joint,boolean,False,True
HH003774,assets,HH003774_A1,both,is_joint,boolean,False,True
HH003845,assets,HH003845_A5,both,is_joint,boolean,False,True
HH003922,assets,HH003922_A5,both,is_joint,boolean,False,True
HH004058,assets,HH004058_A5,both,is_joint,boolean,False,True
HH004257,assets,HH004257_A5,both,is_joint,boolean,False,True
HH004275,assets,HH004275_A5,both,is_joint,boolean,False,True
HH004298,assets,HH004298_A2,both,is_joint,boolean,False,True
HH004794,assets,HH004794_A2,both,is_joint,boolean,False,True
HH004861,assets,HH004861_A5,both,is_joint,boolean,False,True
HH000055,assets,HH000055_A3,both,owner,categorical,client_1,joint
HH000084,assets,HH000084_A3,both,owner,categorical,client_2,joint
HH000408,assets,HH000408_A4,both,owner,categorical,client_1,joint
HH000463,assets,HH000463_A3,both,owner,categorical,client_1,client_2
HH000621,assets,HH000621_A5,both,owner,categorical,client_1,joint
HH000643,assets,HH000643_A5,both,owner,categorical,client_1,joint
HH001099,assets,HH001099_A3,both,owner,categorical,client_2,client_1
HH001448,assets,HH001448_A5,both,owner,categorical,client_2,joint
HH001691,assets,HH001691_A5,both,owner,categorical,client_1,joint
